#,Текст вопроса (Напишите вопрос - 100),Прикрепить картинку,Правильный ответ (50),"Комментарий (Напишите комментарий для тех, кто будет оценивать Ваш вопрос - 400)","Описание (Раскройте тему вопроса, напишите авторское объяснение - 1500)",Источник информации (Напишите источник информации - 50 прикрепите ссылку на источник),Неправильный ответ 1 (50),Неправильный ответ 2 (50),Неправильный ответ 3 (50),Тема (50),Категория (50),Раздел (30),Сложность (5-ти бальная шкала сложности),Сложность (10-ти бальная шкала сложности),Сложность (15-ти бальная шкала сложности),Автор (30),Дата подачи вопроса,Рецензент (30),Дата резензии,Дата включения вопроса в базу
85,Какой из паттернов не является фигурой разворота тренда?,,"""Флаг""",,"Паттерны продолжения - это соответствующие графические модели на графике, которые отражают период временной консолидации перед продолжением движения цены в направлении первоначального тренда. Тренд (от англ. ""trend"") — это направленное движение финансового рынка вверх или вниз. Другими словами: это последовательная серия постоянно увеличивающихся максимумов (в случае роста) или минимумов (в случае падения).",,"""Перевернутые голова и плечи""","""Голова и плечи""","""Бриллиант""","#Термины и понятия; #Задачи, расчеты",#Фигуры технического анализа (паттерны),#Фигуры продолжения тренда,,4,,Александр Иванов,11.06.2021,Александр Иванов,11.06.2021,11.06.2021
86,Как называется этот классический паттерн?,,"""Голова и плечи""",,"Паттерн ""Голова и плечи"" – это фигура разворота тренда. Название формации происходит от визуальной характеристики паттерна – она появляется в форме двух ""плеч"" и ""головы"" между ними. Шаблон формируется с создания вершины на графике. Затем цена создает вторую вершину, которая находится выше первой вершины. После этого создается третья вершина, но она находится ниже второй вершины и примерно на том же уровне, что и первая вершина. Причиной формирования этого паттерна является потеря веры покупателей в преобладающую тенденцию. Правое ""плечо"" на графике, которое ниже ""головы"", дает трейдеру некоторые важные подсказки. Эта убывающая вершина на графике представляет собой замедление тренда, что может привести к его развороту. Важно: фигура ""Голова и плечи"" подтверждается только после пробоя линии ""шеи"". Распространенной ошибкой среди трейдеров является предположение, что паттерн можно считать завершенным, когда формируется правое ""плечо"". На самом деле, он является завершенным только тогда, когда цена закрывается ниже линии ""шеи"". Важно: Большая часть встречаемых на графике моделей «Голова и плечи» не соответствует идеальной форме, представленной в учебниках и образовательных статьях, так что, - включайте воображение.",,"""Ангел""","""Космонавт""","""Тройная вершина""","#Термины и понятия; #Задачи, расчеты",#Фигуры технического анализа (паттерны),#Фигуры разворота,,4,,Александр Иванов,11.06.2021,Александр Иванов,11.06.2021,11.06.2021
87,Какая фигура технического анализа выделена на графике?,,"""Перевернутые голова и плечи""",,,,"""Двойное дно""","""Чашка с ручкой""","""Марианская впадина""","#Термины и понятия; #Задачи, расчеты",#Фигуры технического анализа (паттерны),#Фигуры разворота,,5,,Александр Иванов,11.06.2021,Александр Иванов,11.06.2021,11.06.2021
88,Какая фигура технического анализа выделена на графике?,,"""Двойное дно""",,"Фигура ""Двойное дно"" - паттерн определения разворота рынка после нисходящего (медвежьего) тренда, ее противоположность называется ""Двойная вершина"". Она состоит из трех частей: 1. Первый минимум – первый отскок цены; 2. Второй минимум – второй отскок цены; 3. Линия ""шеи"" – зона сопротивления. Многие неопытные трейдеры открывают позиции не после!!!, а на пробой линии ""шеи"" после формирования ""двойного дна"". Однако они не обращают внимание на контекст рынка. Если рынок находится в сильном нисходящем тренде и формирует небольшое!!! по размерам ""Двойное дно"", вероятней всего, рынок продолжит свое снижение. Если вы торгуете фигуру ""Двойное дно"", обращайте внимание на пространство между двумя минимумами – чем больше!!! будет это расстояние, тем лучше. Когда минимумы находятся достаточно далеко друг от друга, это привлекает внимание большого количества трейдеров, которые открывает позиции в ""шорт"" и тем самым оказываются пойманными в ловушку. Наиболее подходящие таймфреймы для данного паттерна Н4-Д1.",,"""Перевернутые голова и плечи""","""Прямоугольник""","""Бриллиант""","#Термины и понятия; #Задачи, расчеты",#Фигуры технического анализа (паттерны),#Фигуры разворота,,5,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
89,Какая фигура технического анализа выделена на графике?,,"""Тройная вершина""",,"""Тройная вершина"" – это графический паттерн ""медвежьего разворота"", который сигнализирует, что ситуацию контролируют продавцы (противоположный ему паттерн называется ""Тройное дно""). Как видите, фигура состоит из трех последовательных ценовых экстремумов (максимумов) расположенных на одном уровне. Чем больше период формирования фигуры (таймфрейм графика, на котором она идентифицирована), тем выше её надёжность. Целевым уровнем для этой фигуры является расстояние от локального минимума до вершин. Это означает, что цена, после выхода из фигуры должна пройти как минимум именно такое расстояние. Фигура ""Тройная вершина"" является разворотной!!! моделью. Поэтому, как только Вы ее обнаружили, лучше будет прикрыть длинные позиции по активу. Даже если она и не сформируется, Вы сможете перестраховаться и не получить убытков, а вовремя зафиксировать позиции.",,"""Бриллиант""","""Голова и плечи""","""Трапеция""","#Термины и понятия; #Задачи, расчеты",#Фигуры технического анализа (паттерны),#Фигуры разворота,,5,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
90,"Паттерн ""Двойное дно"" это…?",,Фигура разворота тренда,,"Паттерны разворота - это соответствующие графические модели на графике, которые отражают период временной консолидации перед движением цены в обратном от предыдущего тренда направлении.",,Фигура продолжения тренда,Двусторонняя фигура (фигура неопределенности),Нет такого!,"#Термины и понятия; #Задачи, расчеты",#Фигуры технического анализа (паттерны),#Фигуры разворота,,4,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
91,"Классический паттерн ""Тройная вершина"" это…?",,Фигура разворота тренда,,"Паттерны разворота - это соответствующие графические модели на графике, которые отражают период временной консолидации перед движением цены в обратном от предыдущего тренда направлении.",,Нет такого!,Двусторонняя фигура (фигура неопределенности),Фигура продолжения тренда,"#Термины и понятия; #Задачи, расчеты",#Фигуры технического анализа (паттерны),#Фигуры разворота,,4,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
92,Какой из паттернов не является фигурой продолжения тренда?,,"""Тройная вершина""",,"Разворот тренда (или смена) — это окончание трендового движения и его последующая смена на противоположное, либо переход в стадию консолидации (флэта). Тренд (от англ. ""trend"") — это направленное движение финансового рынка вверх или вниз. Другими словами: это последовательная серия постоянно увеличивающихся максимумов (в случае роста) или минимумов (в случае падения).",,"""Флаг""","""Вымпел""","""Прямоугольник""","#Термины и понятия; #Задачи, расчеты",#Фигуры технического анализа (паттерны),#Фигуры разворота,,4,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
93,Какой из паттернов не является фигурой продолжения тренда?,,"""Двойное дно""",,"Разворот тренда (или смена) — это окончание трендового движения и его последующая смена на противоположное, либо переход в стадию консолидации (флэта). Тренд (от англ. ""trend"") — это направленное движение финансового рынка вверх или вниз. Другими словами: это последовательная серия постоянно увеличивающихся максимумов (в случае роста) или минимумов (в случае падения).",,"""Прямоугольник""","""Вымпел""","""Флаг""","#Термины и понятия; #Задачи, расчеты",#Фигуры технического анализа (паттерны),#Фигуры разворота,,4,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
94,"Кто снял культовый фильм ""Уолл-Стрит""?",,Оливер Стоун,,"1987 г. «Уолл Стрит» (Драма). В режиссерском кресле – Оливер Стоун. Главные роли исполнили Чарли Шин, Майкл Дуглас и Дэрил Ханна. К слову, именно этот фильм сделал Шина всемирно известным. События разворачиваются в Нью-Йорке: Бад Фокс – подающий большие надежды трейдер. Амбициозный парень, жаждущий больших денег. Судьба сводит его с Гордоном Гекко, влиятельным представителем биржевого рынка. Сотрудничество героев приводит к неплохим результатам. Но вскоре ситуация берет иной оборот... Захватывающая история, которая является первым крупным фильмом, полностью посвященным трейдерам, теперь стала классикой кинематографа. До сих пор именно эта кинолента считается самой успешной из всех, снятых на данную тему. Картина быстро получила признание, что выразилось в победе на премиях «Оскар» и «Золотой глобус».",,Зак Снайдер,Тим Бертон,Мартин Скорсезе,"#Фильмы, книги, авторы; #Биржи; #Даты, исторические факты;",,,,3,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
95,"Фьючерсами на какой товар успешно торговали эти главные герои фильма ""Их поменяли местами""?",,Апельсиновый сок,,"«Поменяться местами» или «Их поменяли местами» (англ. Trading Places) — комедийный кинофильм (1983) режиссёра Джона Лэндиса с участием Эдди Мерфи и Дэна Эйкройда. Лента получила две премии BAFTA и ряд других наград. Сюжет: Жизнь преуспевающего менеджера Луиса Уинтропа Третьего, управляющего богатейшей компании с Уолл-Стрит, круто меняется после того, как его боссы, братья Дьюк, заключают необычное пари. Один из братьев посчитал, что управлять компанией может кто угодно, даже самый отъявленный и необразованный проходимец. Поставив на кон доллар, братья находят для своего эксперимента уличного мошенника Билли Рэя Валентайна, которому и предлагают возглавить компанию вместо Уинтропа. Эксцентрическая парочка Дьюков и не подозревает, что, поменяв местами проходимца и крупного бизнесмена, они рискуют гораздо больше, чем могли бы себе представить...",,Нефть,Золото,Авокадо,"#Фильмы, книги, авторы; #Биржи; #Даты, исторические факты; #Виды финансовых инструментов",,,,3,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
96,"Вид активов, на торговле которыми разбогател главный герой фильма ""Волк с Уолл-Стрит""?",,"""Мусорные акции""",,"""Мусорные"" акции — активы с очень низкой стоимостью и ликвидностью. В США они известны как реnny stосk (пенни-сток) — «копеечные», «грошевые». К ним относятся активы со стоимостью ниже 5 $ — на американских биржах и ниже 1€ — на европейских. В России их также называют «акциями третьего эшелона». Такие ценные бумаги не интересуют крупных игроков, имеют нестабильное положение на рынке и связаны с высоким риском потери вложенных в них денег. Однако они удерживают свою нишу на бирже и привлекают многочисленных инвесторов. Ведь при удачном стечении обстоятельств на этих акциях можно быстро и много заработать. Порой больше, чем на надежных активах известных корпораций. А работали они так: Они продавали дешевые акции маленьких, неизвестных компаний, те самые «мусорные акции», сначала абсолютно неопытным, неквалифицированным инвесторам, позже, из-за сильного желания как можно быстрее разбогатеть, они переориентировались с простых людей на богачей. Им предлагали акции надежной компании с известным именем, и постепенно впаривали ""мусорные"" акции. Заработок их был заложен в бессовестно огромной 50% !!! комиссии по этим сделкам.",,Фьючерс на USD/JPY,Опционы на золото,10-летние казначейские облигации США,"#Фильмы, книги, авторы; #Биржи; #Даты, исторические факты; #Виды финансовых инструментов",,,,2,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
97,Какая компания регулярно выплачивает дивиденды уже более 200 лет?,,The York Water Company,,"The York Water Company — небольшая компания, которая обеспечивает водой 48 муниципалитетов в двух округах штата Пенсильвания. Ее рыночная капитализация составляет $654 млн (2021). Тем не менее, знают о York Water немногие, а зря: эта компания — рекордсмен по непрерывности выплат дивидендов среди всех публично торгующихся компаний в США. В 2021 году The York Water Company выплатила 602-е по счету дивиденды (текущая доходность составила 1,49%, что немного ниже среднего по рынку) — и она ни разу!!! не пропускала выплат в течение 205 лет. 
Секрет дивидендного постоянства York Water — в сочетании сразу нескольких факторов:
1. Вода — один из наиболее востребованных ресурсов. Из-за этого спрос остается постоянным и предсказуемым во всех экономических условиях;
2. Коммунальные службы, которые занимаются водоснабжением, — это обычно монополии или олигополии в границах муниципалитета. По этой причине выбор поставщика воды и его смена сложны для потребителя;
3. Деятельность York Water регулируется государственной общественной комиссией. С одной стороны, та ограничивает возможности компании по повышению тарифов, а с другой, защищает York Water от волатильности цен и увеличивает предсказуемость денежного потока.",,Procter & Gamble,Stanley Black & Decker,ExxonMobil,"#Компании, тикеры; #Биржи; #Даты, исторические факты",#Индексы,"#NYSE Euronext (New York Stock Exchange, США)",,6,,Александр Иванов,13.06.2021,Александр Иванов,13.06.2021,13.06.2021
98,"Вид налогового вычета по ИИС, при котором можно вернуть до 52 000 ₽ год?",,Вычет на взнос на ИИС (тип А),,"ИИС (индивидуальный инвестиционный счет)— это специальный инвестиционный счет со льготным налоговым режимом. Различаются типы налоговых вычетов, которые можно получить по ИИС:
1. Вычет на взнос на ИИС (тип А) — вид налогового вычета, при котором можно вернуть до 52 000 ₽ в год. Это 13% от суммы, внесенной на ИИС в течение календарного года, при этом в расчет идет пополнение максимум на 400 000 ₽ в год. Вычет типа А можно получить уже по итогам первого года жизни вашего ИИС, но для этого нужно платить НДФЛ с других источников дохода (накопить, к моменту подачи заявления на вычет типа А, уплаченный НДФЛ с других источников дохода, например, - с заработной платы);
2. Вычет на доход по ИИС (тип Б) — это вид налогового вычета, при котором можно освободить весь доход, полученный по ИИС, от уплаты налога в 13%. Этот вычет можно получить только при закрытии счета и не раньше, чем через 3 года с момента его открытия. При этом не важно!!! , есть или нет у Вас другие доходы, облагаемые НДФЛ (копится ли уплаченный НДФЛ с других источников дохода); также - не важно!!! вернули Вы до этого весь уплаченный НДФЛ (например НДФЛ с заработной платы) с помощью каких-либо других вычетов, например на лечение или образование.",,Вычет на взнос на ИИС (тип Б),Вычет на доход по ИИС (тип А),Вычет на доход по ИИС (тип Б),"#Термины и понятия; #Налогообложение в трейдинге, инвестициях; #Юридические аспекты трейдинга, инвестиций; #Задачи / расчеты",,,,5,,Александр Иванов,14.06.2021,Александр Иванов,14.06.2021,14.06.2021
99,"Вид налогового вычета, который освобождает весь доход, полученный по ИИС, от уплаты налога в 13% ?",,Вычет на доход по ИИС (тип Б),,"ИИС (индивидуальный инвестиционный счет)— это специальный инвестиционный счет со льготным налоговым режимом. Различаются типы налоговых вычетов, которые можно получить по ИИС:
1. Вычет на взнос на ИИС (тип А) — вид налогового вычета, при котором можно вернуть до 52 000 ₽ в год. Это 13% от суммы, внесенной на ИИС в течение календарного года, при этом в расчет идет пополнение максимум на 400 000 ₽ в год. Вычет типа А можно получить уже по итогам первого года жизни вашего ИИС, но для этого нужно платить НДФЛ с других источников дохода (накопить, к моменту подачи заявления на вычет типа А, уплаченный НДФЛ с других источников дохода, например, - с заработной платы);
2. Вычет на доход по ИИС (тип Б) — это вид налогового вычета, при котором можно освободить весь доход, полученный по ИИС, от уплаты налога в 13%. Этот вычет можно получить только при закрытии счета и не раньше, чем через 3 года с момента его открытия. При этом не важно!!! , есть или нет у Вас другие доходы, облагаемые НДФЛ (копится ли уплаченный НДФЛ с других источников дохода); также - не важно!!! вернули Вы до этого весь уплаченный НДФЛ (например: НДФЛ с заработной платы) с помощью каких-либо других вычетов, например на лечение или образование.",,Вычет на доход по ИИС (тип А),Вычет на взнос на ИИС (тип Б),Вычет на взнос на ИИС (тип А),"#Термины и понятия; #Налогообложение в трейдинге, инвестициях; #Юридические аспекты трейдинга, инвестиций; #Задачи / расчеты",,,,5,,Александр Иванов,14.06.2021,Александр Иванов,14.06.2021,14.06.2021
100,Отношение рыночной цены компании к ее операционной прибыли - это коэффициент…?,,Р / Е,,"P / E (Price/Equity или цена/прибыль) — основной финансовый коэффициент, который равен отношению рыночной цены компании к ее операционной прибыли. Коэффициент P / E условно оценивает, за сколько лет компания смогла бы сама выкупить все свои акции за счет собственной прибыли. Конечно, данный показатель не рассчитывается для компаний с отрицательными финансовыми показателями (убытком), потому что, в таком случае, показатель мультипликатора будет отрицательным. Исторической нормой считается показатель 15 (ниже 15-ти - указывает на недооценку компании, выше - на переоценку). Но в сегодняшних реалиях (2021г.), когда весь рынок (S&P 500) дороже 30, качественные и относительно недорогие компании имеют P / E около 20 и даже больше.",,Р / В,P / S,P / FCF,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,4,,Александр Иванов,14.06.2021,Александр Иванов,14.06.2021,14.06.2021
101,Отношение рыночной цены компании к ее балансовой стоимости - это коэффициент…?,,Р / В,,"P / В (Price/Balance или цена/балансовая стоимость) — основной финансовый коэффициент, равный отношению рыночной цены компании к ее балансовой стоимости. Показатель коэффициента ниже 1,5 говорит о недооценке компании, выше — о переоценке. Логика P / B в том, чтобы оценить текущий размер капитализации компании по отношению к стоимости ее активов, учтенных в бухгалтерском балансе (зданий, оборудования, товарных знаков, патентов, запасов, денежных средств на банковских счетах). Исторически дешевыми считаются компании, которые стоят меньше своего баланса (P / B < 1), но сегодня, все чаще, - эту планку сдвигают к 2, и даже к 3. Низкий показатель P / B — обычно используется для финансового анализа банков и страховых компаний, по причине того, что их активы и пассивы почти всегда соответствуют их рыночной стоимости.",,P / S,Р / Е,EBITDA,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,4,,Александр Иванов,14.06.2021,Александр Иванов,14.06.2021,14.06.2021
102,Отношение текущей рыночной цены компании к ее свободному денежному потоку - это коэффициент…?,,P / FCF,,"P / FCF (Price/Free Cash Flow или цена/свободный денежный поток) — финансовый коэффициент, равный отношению текущей рыночной цены компании к ее свободному денежному потоку. Если отношение P/FCF < 20 – считается нормой, то значение P/FCF < 15 говорит о том, что бизнес компании здоров и она имеет достаточно свободных средств, которые может направить на выплату дивидендов, осуществление buyback, либо сокращение долговой нагрузки, если такова имеется. Низкое значение P/FCF, как правило, означает, что акции компании являются недооцененными. Таким образом, чем ниже коэффициент, тем дешевле акции. Если P/FCF отрицательный, соответственно у компании отрицательный свободный денежный поток, значит компании придётся занимать денежные средства, что в свою очередь отразится на долговой нагрузке.",,Р / Е,P / S,Р / В,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,4,,Александр Иванов,14.06.2021,Александр Иванов,14.06.2021,14.06.2021
103,"Стоимость компании, рассчитанная как ""количество акций умноженное на их текущую стоимость"" - это…?",,Рыночная капитализация,,"Рыночная капитализация (англ. market capitalization) — стоимость объекта, рассчитанная на основе текущей рыночной (биржевой) цены. Этот финансовый показатель используют для оценки совокупной стоимости рыночных инструментов, субъектов и рынков. В частности, выделяются: 
Рыночная капитализация ценной бумаги — рыночная стоимость одной выпущенной в обращение ценной бумаги определённого вида. Чаще всего используется котировка на фондовой бирже;
Рыночная капитализация акционерного общества — оценочная стоимость всех акций этого акционерного общества. Представляет собой произведение количества акций акционерного общества на их текущую цену. Величина рыночной капитализации и её рост зачастую являются характеристиками успешности акционерной компании. Рыночная капитализация не обязательно отражает реальное состояние дел в акционерной компании, поскольку цена акций зависит от ожиданий будущих прибылей и от спекуляций. Иными словами, рыночная капитализация — цена, в которую рынок оценивает компанию на основании последних сделок с ее акциями.",,Балансовая стоимость,Ликвидационная стоимость,Амортизационная стоимость,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,3,,Александр Иванов,14.06.2021,Александр Иванов,14.06.2021,14.06.2021
104,"У каких акций обычно высокие значения коэффициентов Р/Е, Р/В, P/FCF и др. ?",,Акций роста,,"Акции роста - это ценные бумаги компании, которая либо имеет высокий показатель прибыли в течение нескольких последних лет, либо обладает существенным потенциалом для наращивания ее объема в ближайшем будущем. Ценные бумаги таких эмитентов стремительно растут, опережая активы других компаний, но в некоторых случаях не исключено и быстрое падение их котировок. Отличительными чертами акций роста являются следующие показатели:
- большая популярность и узнаваемость компании-эмитента, ее бренда или продукции;
- принадлежность акционерного общества к быстрорастущим секторам экономики (иногда такие компании создают совершенно новое направление на рынке);
- использование или предложение эмитентом продуктов новейших технологических разработок;
- вложение большого объема финансовых ресурсов в науку и развитие производства;
- наличие харизматичного руководителя;
- лидерство компании на рынке и ее неоспоримое конкурентное преимущество;
- нестабильность прибыли и выплат дивидендов по причине больших инвестиций в дальнейшее саморазвитие.
Важно: Инвесторы, владеющие акциями роста, как правило, либо вообще не получают дивидендов, либо получают минимальные выплаты. Это обусловлено тем, что эмитент вкладывает большую часть прибыли в свое дальнейшее развитие. Особенно это касается молодых компаний.",,Акций стоимости,Низколиквидных акций,Привилегированных акций,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,5,,Александр Иванов,14.06.2021,Александр Иванов,14.06.2021,14.06.2021
105,"Акции, обычно имеющие низкие значения коэффициентов Р/Е, Р/В, P/FCF - это...?",,Акции стоимости,,"Акции стоимости – это ценные бумаги компаний, которые обычно существенно недооценены рынком. Они заметно дешевле аналогов на рынке и отличаются высокими и стабильно выплачиваемыми дивидендами. У них низкие соотношения цены и прибыли/денежного потока, продаж к рыночной капитализации. Это могут быть компании, которые столкнулись с временными проблемами; бизнес, который интересен только узкому кругу инвесторов; также бизнес, который когда-то занял свою долю рынка и дальше особо не может развиваться или развивается экстенсивным путем. Компании стоимости традиционно работают в стабильных секторах, не имеющих особых предпосылок для резкого и скачкообразного роста. Важной составляющей таких акций является способность генерировать стабильный и предсказуемый денежный поток в долгосрочной перспективе. Этот денежный поток и есть их потенциал роста капитализации.",,Обыкновенные акции,Акции роста,Привилегированные акции,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,5,,Александр Иванов,14.06.2021,Александр Иванов,14.06.2021,14.06.2021
106,"Меру доходности, приносимую ПАО ""Сургутнефтегаз"" на вложенный капитал правильно оценивать по...?",,ROCE,,"ROCE (Return on Capital Employed) - показатель рентабельности обыкновенного акционерного капитала (иначе - задействованного капитала, т.е. собственного капитала компании и долгосрочно привлеченных средств (долгосрочных кредитов, займов)). Коэффициент вычисляется как отношение чистой прибыли за вычетом дивидендов по привилегированным акциям к обыкновенному акционерному капиталу. Формула расчета показателя выглядит следующим образом:
ROCE = Earnings before interest and tax (EBIT) / Сapital employed
ROCE = (Чистая прибыль - Дивиденды по привилегированным акциям) / Средняя за год величина обыкновенного акционерного капитала
Среднегодовая величина активов рассчитывается на базе баланса предприятия как полусумма величины активов на начало и на конец года или как среднеарифметическое величин баланса на конец кварталов, входящих в отчетный год.
Показатель Return on capital employed используется финансистами как мера доходности, которую приносит компания на вложенный капитал. Обычно это необходимо для сравнения эффективности работы в различных видах бизнеса и для оценки того, генерирует ли компания достаточно прибыли, чтобы оправдать стоимость привлечения капитала.
Если предприятие не имеет привилегированных акций и не связано обязательствами по обязательной выплате дивидендов, то значение данного показателя эквивалентно Return on equity (ROE).",,ROE,ROTA,RONA,"#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов; #Компании, тикеры; #Сектора экономики, Отрасли","#Акция; #Финансовые показатели, коэффициенты; #Энергетика; #Российские компании",,,7,,Александр Иванов,15.06.2021,Александр Иванов,15.06.2021,15.06.2021
107,Отношение Чистой прибыли (Net income) к Активам компании (Average Total Assets) - это коэффициент…?,,ROA,,"Коэффициент рентабельности активов (Return on Assets, ROA) показывает, сколько денежных единиц чистой прибыли приносит каждая единица активов, имеющихся в распоряжении компании. Позволяет оценить качество работы её финансовых менеджеров. Показатель рентабельности активов рассчитывается по формуле:
Return on Assets = Net Income / Average Total Assets,
Чистая прибыль (Net income) – это разность между полученной выручкой и всеми затратами компании за соответствующий период. Учитывает расходы на выплату налогов, т.е. прибыль до налогообложения;
Активы предприятия (Assets) – совокупность имущества и денежных средств, принадлежащих компании (здания, сооружения, машины и оборудование, материальные запасы, банковские вклады, ценные бумаги, патенты, авторские права, собственность, имеющая денежную оценку). Для проведения расчётов используется среднегодовая величина активов компании (сумма активов на начало и на конец года, делённая пополам). ROA для публичных компаний может существенно варьироваться, и будет сильно зависеть от отрасли. Российские отраслевые средневзвешенные покатели рентабельности активов, можно увидеть в приложении №4 к Приказу ФНС России от 30.05.2007 N ММ-3-06/333@ в ред. Приказа ФНС России от 10.05.2012 №ММВ-7-2/297@. Отметим что, в сответсвии с вышеуказанным приказом рентабельность активов это соотношение сальдированного финансового результата (прибыль минус убыток) и стоимости активов компании.",,ROIC,ROTA,RONA,#Термины и понятия; #Задачи / расчеты; #Виды финансовых инструментов,"#Акция; #Финансовые показатели, коэффициенты",,,4,,Александр Иванов,15.06.2021,Александр Иванов,15.06.2021,15.06.2021
